station,lat,lon,hp,country,fog,visibility,datetime
ELISTA,4630,4418,197.2,Russian Federation,45,200 m,2025111806
BAGUIO,1640,12060,1501,Philippines,40,10 km,2025111806
EL'TON,4913,4685,5.78,Russian Federation,47,500 m,2025111806
SYZRAN',5318,4840,103.19,Russian Federation,47,500 m,2025111806
JIUXIAN SHAN,2572,11810,1651,China,B45,below 100 m,2025111806
DOI ANG KHANG,1991,9903,1530,Thailand,45,500 m,2025111806
BVUMBWE,-1591,3506,1146,Malawi,40,15 km,2025111806
16779,3766,2633,,,41,,2025111806
AMSTERDAM AP SCHIPHOL,5231,478,-3.24,Netherlands,12,35 km,2025111806
SIBITI,-368,1335,530,Congo,46,100 m,2025111806
KAZAN',5573,4920,118.5,Russian Federation,45,200 m,2025111806
GEORGIEVSK,4413,4345,287.88,Russian Federation,43,200 m,2025111806
CERNYJ JAR,4806,4611,5.36,Russian Federation,45,500 m,2025111806
KARS,4055,4310,1795,Turkey,45,400 m,2025111806
ALGHERO,4061,828,40,Italy,11,25 km,2025111806
KODAIKANAL,1000,7746,2343,India,45,50 m,2025111806
CEAHLAU TOACA,4696,2595,1898.3,Romania,45,50 m,2025111806
AKSAKOVO,5401,5413,355.58,Russian Federation,45,200 m,2025111806
KARABULAK,5233,4636,301.72,Russian Federation,45,200 m,2025111806
AKIM ODA,593,-29634,0,Ghana,46,400 m,2025111806
NOONAMAH AIRSTRIP,-1260,13103,18.9,Australia,41,,2025111806
KAMYSIN,5008,4536,118.66,Russian Federation,47,500 m,2025111806
KOTEL'NIC,5830,4835,126.65,Russian Federation,45,500 m,2025111806
CRNI VRH,4411,2195,1039,Serbia,45,100 m,2025111806
"RANKIN INLET A, NU",6281,26789,32.31,Canada,47,400 m,2025111806
MALYE DERBETY,4793,4470,9.27,Russian Federation,45,500 m,2025111806
SAMARA (OGMS),5325,5021,139.35,Russian Federation,45,500 m,2025111806
KOLDA,1286,-31032,8.38,Senegal,46,600 m,2025111806
IKI-BURUL,4580,4463,112.99,Russian Federation,45,500 m,2025111806
YAMOUSSOUKRO,653,-30056,213,Côte d'Ivoire,47,600 m,2025111806
BUHTA AMBARCIK,6961,16230,23.2,Russian Federation,49,500 m,2025111806
MINERAL'NYE VODY,4423,4306,328.29,Russian Federation,45,500 m,2025111806
RESISTENCIA AERO,-2743,30097,52,Argentina,11,7 km,2025111806
GAGNOA,613,-30131,210,Côte d'Ivoire,44,900 m,2025111806
MUSSALA (TOP/SOMMET),4218,2358,2927,Bulgaria,49,below 100 m,2025111806
BASE ESPERANZA,-6338,30302,24,Stations operated by Argentina,46,800 m,2025111806
ERZURUM,3995,4118,1758,Turkey,47,400 m,2025111806
MOUYONDZI,-400,1395,512,Congo,46,600 m,2025111806
ALATYR',5481,4658,180.1,Russian Federation,45,500 m,2025111806
NOVODEVIC'E,5360,4883,143.07,Russian Federation,47,300 m,2025111806
GROZNYJ,4325,4571,257.57,Russian Federation,47,500 m,2025111806
BUGUL'MA,5461,5280,303.93,Russian Federation,47,200 m,2025111806
ZIMOVNIKI,4715,4248,72.02,Russian Federation,44,500 m,2025111806
AI-PETRI,4446,3406,1180,Ukraine,47,200 m,2025111806
ORSK,5106,5860,284.88,Russian Federation,44,900 m,2025111806
KRASNOSCEL'E,6735,3705,157.2,Russian Federation,48,200 m,2025111803
35069,5190,6733,,,45,500 m,2025111803
AMRITSAR,3163,7486,234,India,12,500 m,2025111803
KALEWA,2320,9430,109,Myanmar,40,1000 m,2025111803
BUHTA AMBARCIK,6961,16230,23.2,Russian Federation,45,500 m,2025111803
MALYE DERBETY,4793,4470,9.27,Russian Federation,47,200 m,2025111803
LAGAN',4540,4735,-24.61,Russian Federation,44,200 m,2025111803
28886,5361,7231,,,48,500 m,2025111803
SAMARA (OGMS),5325,5021,139.35,Russian Federation,45,500 m,2025111803
ERTIS,5333,7545,94,Kazakhstan,45,500 m,2025111803
IKI-BURUL,4580,4463,112.99,Russian Federation,45,500 m,2025111803
DIPAYAL,2925,8093,617,Nepal,47,800 m,2025111803
42474,2530,8180,,,12,500 m,2025111803
ERZINCAN,3970,3951,1154,Turkey,11,500 m,2025111803
29808,5336,7630,,,46,500 m,2025111803
ORSK,5106,5860,284.88,Russian Federation,45,600 m,2025111803
BELINSKIJ,5296,4340,205.66,Russian Federation,45,500 m,2025111803
DAR ES SALAAM INT,-686,3920,55,"Tanzania, United Republic of",11,9 km,2025111803
SOROCHINSK,5243,5313,122.95,Russian Federation,47,200 m,2025111803
PUTAO,2720,9725,0,Myanmar,47,800 m,2025111803
RASHT (40719-0),3731,4961,-9,"Iran, Islamic Republic of",46,800 m,2025111803
36126,5078,7568,,,47,500 m,2025111803
ERZURUM,3995,4118,1758,Turkey,41,800 m,2025111803
35198,5105,7403,,,44,500 m,2025111803
VARFU OMU,4543,2545,2511.4,Romania,41,500 m,2025111803
35244,5041,6048,,,45,500 m,2025111803
MANDI,3171,7696,761,India,44,500 m,2025111803
SUNDERNAGAR,3153,7690,875,India,44,200 m,2025111803
JIUXIAN SHAN,2572,11810,1651,China,B46,below 100 m,2025111803
KRASNOSLOBODSK,5443,4376,188.02,Russian Federation,45,500 m,2025111803
28785,5441,7095,,,48,500 m,2025111803
ODESSKOE,5420,7296,124.7,Russian Federation,49,500 m,2025111803
PROHLADNAYA,4375,4405,199.94,Russian Federation,45,200 m,2025111803
ELISTA,4630,4418,197.2,Russian Federation,45,200 m,2025111803
PAVLODAR,5220,7706,122,Kazakhstan,46,200 m,2025111803
ATBASAR,5183,6835,304,Kazakhstan,45,500 m,2025111803
NANYUE,2730,11270,1268,China,B45,below 100 m,2025111803
CERLAK,5416,7480,114.64,Russian Federation,49,500 m,2025111803
PATIALA,3033,7646,252,India,12,500 m,2025111803
VARANASI/BABATPUR,2543,8285,89,India,12,500 m,2025111803
CEAHLAU TOACA,4696,2595,1898.3,Romania,45,50 m,2025111803
SARYG-SEP,5146,9556,705.8,Russian Federation,41,20 km,2025111803
KARABULAK,5233,4636,301.72,Russian Federation,45,200 m,2025111803
35191,5160,7308,,,45,500 m,2025111803
MIKHAILOVKA,5383,7653,114,Kazakhstan,46,500 m,2025111803
VOLCIHA,5201,8033,208.04,Russian Federation,46,500 m,2025111803
LUKOJANOV,5503,4450,218.83,Russian Federation,45,500 m,2025111803
GEORGIEVSK,4413,4345,287.88,Russian Federation,45,200 m,2025111803
CERNYJ JAR,4806,4611,5.36,Russian Federation,45,500 m,2025111803
TENERIFE/LOS RODEOS,2846,-31167,617,Spain,40,8 km,2025111803
FURSATGANJ,2625,8136,116,India,42,500 m,2025111803
NAL'CIK,4353,4363,424.87,Russian Federation,45,200 m,2025111803
LYNTUPY,5503,2630,211.6,Belarus,47,300 m,2025111800
ORSK,5106,5860,284.88,Russian Federation,45,600 m,2025111800
BELINSKIJ,5296,4340,205.66,Russian Federation,45,500 m,2025111800
KRASNYJ HOLM,5803,3710,166.6,Russian Federation,47,200 m,2025111800
ERZURUM,3995,4118,1758,Turkey,41,1200 m,2025111800
HAKHA,2263,9358,0,Myanmar,47,200 m,2025111800
PUTAO,2720,9725,0,Myanmar,43,700 m,2025111800
PACHELMA,5333,4331,261.03,Russian Federation,45,500 m,2025111800
BUHTA AMBARCIK,6961,16230,23.2,Russian Federation,49,500 m,2025111800
KALEWA,2320,9430,109,Myanmar,40,1000 m,2025111800
AMRITSAR,3163,7486,234,India,12,500 m,2025111800
MALINOVKA,4978,12991,115.6,Russian Federation,44,500 m,2025111800
MURGANELLA AIRSTRIP,-1153,13291,10.9,Australia,41,,2025111800
GOVE AIRPORT,-1226,13681,53.2,Australia,41,,2025111800
HKAMTI,2600,9570,0,Myanmar,47,500 m,2025111800
16768,3716,2680,,,41,,2025111800
DIPAYAL,2925,8093,617,Nepal,47,200 m,2025111800
IKI-BURUL,4580,4463,112.99,Russian Federation,47,500 m,2025111800
LAGAN',4540,4735,-24.61,Russian Federation,44,200 m,2025111800
HOLM,5715,3118,71,Russian Federation,44,500 m,2025111800
SARYG-SEP,5146,9556,705.8,Russian Federation,44,500 m,2025111800
VARANASI/BABATPUR,2543,8285,89,India,12,500 m,2025111800
CEAHLAU TOACA,4696,2595,1898.3,Romania,45,50 m,2025111800
BIRATNAGAR AIRPORT,2648,8726,72,Nepal,46,800 m,2025111800
KOPAONIK,4328,2080,1713,Serbia,45,200 m,2025111800
NANYUE,2730,11270,1268,China,B46,below 100 m,2025111800
71717,6360,22414,,,41,16 km,2025111800
NAL'CIK,4353,4363,424.87,Russian Federation,45,200 m,2025111800
NIKEL',6940,3020,92.1,Russian Federation,11,16 km,2025111800
GEORGIEVSK,4413,4345,287.88,Russian Federation,45,200 m,2025111800
GUS'-HRUSTAL'NYJ,5560,4065,135.7,Russian Federation,47,500 m,2025111800
ZEJA,5373,12726,230,Russian Federation,40,over 50 km,2025111800
JIUXIAN SHAN,2572,11810,1651,China,B46,below 100 m,2025111800
EMEI SHAN,2952,10333,3049,China,B46,below 100 m,2025111800
16779,3766,2633,,,41,,2025111800
DROBETA-TURNU SEVERIN,4461,2261,78.2,Romania,46,500 m,2025111800
VARFU OMU,4543,2545,2511.4,Romania,41,500 m,2025111800
ELISTA,4630,4418,197.2,Russian Federation,47,500 m,2025111800
ODESSKOE,5420,7296,124.7,Russian Federation,49,500 m,2025111800
PROHLADNAYA,4375,4405,199.94,Russian Federation,45,500 m,2025111800
LU SHAN,2958,11598,1165,China,B46,700 m,2025111800
KRASNOSLOBODSK,5443,4376,188.02,Russian Federation,45,500 m,2025111800
KAILASHAHAR,2431,9200,30,India,44,500 m,2025111800
MUSSALA (TOP/SOMMET),4218,2358,2927,Bulgaria,41,100 m,2025111721
PIRLANGIMPI,-1140,13041,19.3,Australia,41,,2025111721
MALINOVKA,4978,12991,115.6,Russian Federation,46,500 m,2025111721
PACHELMA,5333,4331,261.03,Russian Federation,47,500 m,2025111721
WARRUWI,-1165,13336,19.7,Australia,41,,2025111721
NANYANG,3310,11248,181.6,China,B46,100 m,2025111721
PAVLOVSKIJ POSAD,5576,3868,132,Russian Federation,45,200 m,2025111721
HOLM,5715,3118,71,Russian Federation,46,500 m,2025111721
KAMYSIN,5008,4536,118.66,Russian Federation,45,500 m,2025111721
BELINSKIJ,5296,4340,205.66,Russian Federation,45,500 m,2025111721
ORSK,5106,5860,284.88,Russian Federation,45,600 m,2025111721
GUBA,4136,4851,552,Azerbaijan,45,200 m,2025111721
KUCHING,148,11033,27,Malaysia,46,800 m,2025111721
ALATYR',5481,4658,180.1,Russian Federation,45,500 m,2025111721
ERZURUM,3995,4118,1758,Turkey,41,800 m,2025111721
DOI ANG KHANG,1991,9903,1530,Thailand,45,500 m,2025111721
JIUXIAN SHAN,2572,11810,1651,China,B46,below 100 m,2025111721
MORAWA AIRPORT,-2920,11601,271.9,Australia,41,,2025111721
EMEI SHAN,2952,10333,3049,China,B45,100 m,2025111721
HUANG SHAN,3013,11815,1836,China,B46,100 m,2025111721
BIRZAI,5618,2476,61.52,Lithuania,42,500 m,2025111721
PROHLADNAYA,4375,4405,199.94,Russian Federation,47,500 m,2025111721
KASIRA,5483,3815,221.1,Russian Federation,45,400 m,2025111721
NANYUE,2730,11270,1268,China,B46,below 100 m,2025111721
VILNIUS (26730-0),5461,2510,155.93,Lithuania,44,500 m,2025111721
SARYG-SEP,5146,9556,705.8,Russian Federation,46,500 m,2025111721
NIKEL',6940,3020,92.1,Russian Federation,11,11 km,2025111721
GEORGIEVSK,4413,4345,287.88,Russian Federation,45,500 m,2025111721
AKTION (AIRPORT),3891,2076,3.94,Greece,41,,2025111721
NAL'CIK,4353,4363,424.87,Russian Federation,45,200 m,2025111721
ROSIORII DE VEDE,4410,2496,103.4,Romania,42,700 m,2025111721
ERSHOV,5136,4830,110.99,Russian Federation,45,600 m,2025111718
POINT FAWCETT,-1175,13001,7.5,Australia,41,,2025111718
ERZURUM,3995,4118,1758,Turkey,41,1500 m,2025111718
BELINSKIJ,5296,4340,205.66,Russian Federation,45,500 m,2025111718
CAPE FLATTERY,-1496,14530,19.3,Australia,41,,2025111718
GUBA,4136,4851,552,Azerbaijan,45,200 m,2025111718
PAVLOVSKIJ POSAD,5576,3868,132,Russian Federation,47,200 m,2025111718
16768,3716,2680,,,41,,2025111718
KAMYSIN,5008,4536,118.66,Russian Federation,43,500 m,2025111718
PIRLANGIMPI,-1140,13041,19.3,Australia,41,,2025111718
DOI MU SOE AGROMET,1675,9893,867.8,Thailand,47,400 m,2025111718
"EDMONTON INT'L A, ALTA",5331,24642,723.3,Canada,45,800 m,2025111718
PANGKALAN BUN/ISKANDAR,-270,11170,25,Indonesia,46,300 m,2025111718
UMBA,6666,3433,39.5,Russian Federation,49,500 m,2025111718
KOPAONIK,4328,2080,1713,Serbia,45,300 m,2025111718
NANYUE,2730,11270,1268,China,B44,below 100 m,2025111718
KARABULAK,5233,4636,301.72,Russian Federation,45,200 m,2025111718
TOROPEC,5648,3163,187,Russian Federation,47,500 m,2025111718
BIRZAI,5618,2476,61.52,Lithuania,47,700 m,2025111718
"CARTWRIGHT, NFLD",5370,30297,0,Canada,41,4000 m,2025111718
16779,3766,2633,,,41,,2025111718
DOI ANG KHANG,1991,9903,1530,Thailand,45,500 m,2025111718
EMEI SHAN,2952,10333,3049,China,B46,300 m,2025111718
NANYUE,2730,11270,1268,China,45,below 100 m,2025111715
KARABULAK,5233,4636,301.72,Russian Federation,47,200 m,2025111715
NIKEL',6940,3020,92.1,Russian Federation,11,20 km,2025111715
POCHINOK,5441,3243,201.2,Russian Federation,45,500 m,2025111715
DOI ANG KHANG,1991,9903,1530,Thailand,45,500 m,2025111715
MIDDLE POINT AWS,-1260,13128,15.4,Australia,41,,2025111715
NGUKURR AIRPORT,-1471,13473,16.01,Australia,41,,2025111715
EMEI SHAN,2951,10333,3049,China,46,100 m,2025111715
EFREMOV,5315,3811,214.7,Russian Federation,43,500 m,2025111715
JIUXIAN SHAN,2571,11810,1651,China,46,below 100 m,2025111715
ZUKOVKA,5353,3375,176.77,Russian Federation,44,500 m,2025111715
BIRZAI,5618,2476,61.52,Lithuania,45,500 m,2025111715
WILLIS ISLAND,-1628,14995,9.8,Australia,41,,2025111715
HUANG SHAN,3013,11815,1836,China,46,100 m,2025111715
GUBA,4136,4851,552,Azerbaijan,45,200 m,2025111715
BELINSKIJ,5296,4340,205.66,Russian Federation,47,500 m,2025111715
CHOPOK,4893,1958,2007,Slovakia,45,below 100 m,2025111715
SPAS-DEMENSK,5441,3401,238.1,Russian Federation,47,500 m,2025111715
40735,3621,5130,,,45,100 m,2025111715
COEN AIRPORT,-1375,14311,160.1,Australia,41,,2025111715
POINT FAWCETT,-1175,13001,7.5,Australia,41,,2025111715
MILINGIMBI AWS,-1208,13488,16.5,Australia,41,,2025111715
PIRLANGIMPI,-1140,13041,19.3,Australia,41,,2025111715
CROKER ISLAND AIRPORT,-1115,13246,10.6,Australia,41,,2025111715
LAUKUVA,5560,2223,165.76,Lithuania,42,900 m,2025111715
DOI MU SOE AGROMET,1675,9893,867.8,Thailand,47,500 m,2025111715
PACHELMA,5333,4331,261.03,Russian Federation,45,500 m,2025111715
CENTRAL ARNHEM PLATEAU,-1331,13308,416.3,Australia,41,,2025111715
