station,lat,lon,hp,country,fog,visibility,datetime
KOMRAT,4628,2863,133,Republic of Moldova,43,500 m,2025112109
KIEV,5038,3053,167,Ukraine,43,500 m,2025112109
DIVNOE,4591,4335,86.41,Russian Federation,45,500 m,2025112109
MALYE DERBETY,4793,4470,9.27,Russian Federation,43,500 m,2025112109
GORKI,5430,3093,205.08,Belarus,43,900 m,2025112109
ELEC,5263,3851,167.47,Russian Federation,45,500 m,2025112109
RYAZHSK,5371,4011,127.1,Russian Federation,45,500 m,2025112109
MEDEA,3626,271,1036,Algeria,45,100 m,2025112109
PUERTO MONTT,-4143,28692,84,Chile,46,500 m,2025112109
CHAPAEVO,5020,5116,17,Kazakhstan,45,500 m,2025112109
UMAN',4876,3021,216,Ukraine,47,200 m,2025112109
ROSIORII DE VEDE,4410,2496,103.4,Romania,42,600 m,2025112109
NIZHNY-CHIR,4833,4311,74.2,Russian Federation,45,200 m,2025112109
VOLGOGRAD,4878,4436,134,Russian Federation,47,100 m,2025112109
PONYRI,5231,3630,250.9,Russian Federation,45,500 m,2025112109
LIVNY,5243,3760,179.4,Russian Federation,45,500 m,2025112109
TAN-TAN,2843,-30651,204,Morocco,44,400 m,2025112109
"SPOKANE/INT., WA.",4763,24247,721,United States of America,41,400 m,2025112109
KHARKIV,4991,3626,155,Ukraine,45,50 m,2025112109
LIPETSK,5270,3951,177.2,Russian Federation,45,800 m,2025112109
KHMEL'NYTS'KYI,4935,2693,350,Ukraine,45,500 m,2025112109
35283,5085,7213,,,45,500 m,2025112109
CHERNIHIV,5143,3120,141,Ukraine,44,500 m,2025112109
NALUT,3150,1058,621,Libya (State of),40,800 m,2025112109
MIERCUREA CIUC,4636,2576,662.2,Romania,43,500 m,2025112109
KURSK,5176,3616,247.25,Russian Federation,45,200 m,2025112109
KOTA AERODROME,2515,7585,279,India,44,500 m,2025112109
VORONEZ,5170,3921,148.9,Russian Federation,45,500 m,2025112109
"AUGUSTA/BUSH FIELD,  GA.",3336,27804,45,United States of America,41,400 m,2025112109
SREDNIKAN,6245,15231,260,Russian Federation,41,1000 m,2025112109
KAMENNAJA STEP',5105,4070,194,Russian Federation,45,700 m,2025112109
VINNYTSIA,4923,2860,298,Ukraine,47,400 m,2025112109
CEADIR-LUNGA,4605,2881,180,Republic of Moldova,45,50 m,2025112106
IMPFONDO,161,1806,327,Congo,46,600 m,2025112106
BOGUCAR,4993,4056,83.57,Russian Federation,45,500 m,2025112106
CRAIOVA,4430,2386,193.2,Romania,46,500 m,2025112106
TAGANROG,4720,3890,32.03,Russian Federation,45,500 m,2025112106
"COLUMBIA, SC.",3395,27889,69,United States of America,41,400 m,2025112106
EJSK,4680,3826,2.53,Russian Federation,45,200 m,2025112106
BEOGRAD,4480,2046,132,Serbia,45,200 m,2025112106
LOVETCH,4315,2470,221,Bulgaria,44,700 m,2025112106
GIGANT,4651,4135,78.53,Russian Federation,45,500 m,2025112106
EL'TON,4913,4685,5.78,Russian Federation,45,500 m,2025112106
GORODOVIKOVSK,4606,4196,86.77,Russian Federation,45,500 m,2025112106
BRICENI,4835,2706,261,Republic of Moldova,47,200 m,2025112106
ZIMOVNIKI,4715,4248,72.02,Russian Federation,44,500 m,2025112106
SAGHEZ,3625,4626,1523,"Iran, Islamic Republic of",47,400 m,2025112106
KIROVOHRAD,4853,3228,171,Ukraine,45,200 m,2025112106
CORNESTI,4735,2800,232,Republic of Moldova,47,200 m,2025112106
CAHUL,4590,2818,113,Republic of Moldova,45,200 m,2025112106
KLICHEV,5348,2930,155.09,Belarus,44,200 m,2025112106
BAGUIO,1640,12060,1501,Philippines,40,10 km,2025112106
GALATI,4546,2801,70.3,Romania,44,200 m,2025112106
SERAFIMOVIC,4956,4273,129.07,Russian Federation,47,500 m,2025112106
SUMY,5085,3473,181,Ukraine,45,500 m,2025112106
POLTAVA,4960,3453,160,Ukraine,45,50 m,2025112106
ERZURUM,3995,4118,1758,Turkey,47,400 m,2025112106
KOPAONIK,4328,2080,1713,Serbia,45,100 m,2025112106
BALTI,4775,2791,102,Republic of Moldova,45,500 m,2025112106
NOVYJ USHTOGAN,4790,4878,-10,Kazakhstan,44,500 m,2025112106
"INDIANAPOLIS/I.-MUN/WEIR COOK, IN.",3973,27374,246,United States of America,41,200 m,2025112106
DIVNOE,4591,4335,86.41,Russian Federation,45,500 m,2025112106
KIEV,5038,3053,167,Ukraine,45,200 m,2025112106
KOMRAT,4628,2863,133,Republic of Moldova,47,200 m,2025112106
BUDENNOVSK,4478,4413,135.87,Russian Federation,43,200 m,2025112106
VERHNIJ BASKUNCHAK,4821,4673,34.56,Russian Federation,45,500 m,2025112106
OUESSO,161,1605,352,Congo,46,400 m,2025112106
KAMYSIN,5008,4536,118.66,Russian Federation,45,200 m,2025112106
GOTNJA,5080,3576,225.67,Russian Federation,45,500 m,2025112106
BACAU,4655,2688,175.2,Romania,46,400 m,2025112106
KERCH,4536,3640,49,Ukraine,45,500 m,2025112106
BUCURESTI BANEASA,4450,2606,91.2,Romania,44,300 m,2025112106
UTTA,4636,4601,-7.05,Russian Federation,45,500 m,2025112106
ILOVLYA,4930,4400,44.37,Russian Federation,45,500 m,2025112106
ZHYTOMYR,5026,2865,224,Ukraine,47,200 m,2025112106
STEFAN-VODA,4650,2965,173,Republic of Moldova,45,500 m,2025112106
CRNI VRH,4411,2195,1039,Serbia,45,100 m,2025112106
MCCLUER ISLAND,-1103,13296,2.4,Australia,41,,2025112106
GROZNYJ,4325,4571,257.57,Russian Federation,45,200 m,2025112106
SOROCA,4816,2830,173,Republic of Moldova,45,500 m,2025112106
LIUBASHIVKA,4785,3026,183,Ukraine,45,100 m,2025112106
NIZHNY-CHIR,4833,4311,74.2,Russian Federation,45,200 m,2025112106
KAZANSKAJA,4980,4115,71.51,Russian Federation,45,500 m,2025112106
ROSIORII DE VEDE,4410,2496,103.4,Romania,44,300 m,2025112106
BORISOGLEBSK,5136,4208,105.96,Russian Federation,45,500 m,2025112106
16779,3766,2633,,,41,,2025112106
CHAPAEVO,5020,5116,17,Kazakhstan,47,500 m,2025112106
SIBITI,-368,1335,530,Congo,46,500 m,2025112106
MEDEA,3626,271,1036,Algeria,47,100 m,2025112106
"RESOLUTE CARS, NU",7471,26504,67.68,Canada,45,600 m,2025112106
GEORGIEVSK,4413,4345,287.88,Russian Federation,45,200 m,2025112106
"ST.LOUIS/LAMBERT,  ST.LOUIS INT., MO.",3875,26964,172,United States of America,41,800 m,2025112106
ELEC,5263,3851,167.47,Russian Federation,45,500 m,2025112106
TRUBCHEVSK,5258,3376,178.07,Russian Federation,47,500 m,2025112106
BOTOSANI,4773,2663,162.2,Romania,42,800 m,2025112106
GORKI,5430,3093,205.08,Belarus,47,400 m,2025112106
FALESTI,4756,2770,162,Republic of Moldova,47,500 m,2025112106
LEOVA,4646,2825,156,Republic of Moldova,45,500 m,2025112106
SVITLOVODS'K,4906,3323,84,Ukraine,45,300 m,2025112106
MALYE DERBETY,4793,4470,9.27,Russian Federation,45,200 m,2025112106
MUSSALA (TOP/SOMMET),4218,2358,2927,Bulgaria,49,below 100 m,2025112106
CENTRAL ARNHEM PLATEAU,-1331,13308,416.3,Australia,41,,2025112106
VINNYTSIA,4923,2860,298,Ukraine,45,800 m,2025112106
KAMENNAJA STEP',5105,4070,194,Russian Federation,45,500 m,2025112106
SREDNIKAN,6245,15231,260,Russian Federation,41,1000 m,2025112106
KOTA AERODROME,2515,7585,279,India,44,500 m,2025112106
YUSTA,4713,4631,2.6,Russian Federation,45,500 m,2025112106
BALIKESIR,3961,2791,102,Turkey,41,1200 m,2025112106
MIERCUREA CIUC,4636,2576,662.2,Romania,45,300 m,2025112106
KURSK,5176,3616,247.25,Russian Federation,45,200 m,2025112106
BRJANSK,5325,3431,216.29,Russian Federation,45,500 m,2025112106
NALUT,3150,1058,621,Libya (State of),40,800 m,2025112106
MILLEROVO,4893,4038,155.07,Russian Federation,45,500 m,2025112106
DUBASARI,4728,2913,40,Republic of Moldova,45,200 m,2025112106
CHERNIHIV,5143,3120,141,Ukraine,45,500 m,2025112106
MOURGASH,4283,2366,1692,Bulgaria,45,below 100 m,2025112106
PROHLADNAYA,4375,4405,199.94,Russian Federation,45,500 m,2025112106
GUDERMES,4335,4611,75,Russian Federation,45,200 m,2025112106
URJUPINSK,5080,4200,105.65,Russian Federation,45,500 m,2025112106
CHERNIVTSI,4825,2596,246,Ukraine,45,100 m,2025112106
KHARKIV,4991,3626,155,Ukraine,45,50 m,2025112106
BUZAU,4511,2685,98.3,Romania,46,900 m,2025112106
LIPETSK,5270,3951,177.2,Russian Federation,45,400 m,2025112106
BERBERATI,425,1580,583,Central African Republic,46,100 m,2025112106
BOKOVSKAJA,4921,4183,91.12,Russian Federation,45,500 m,2025112106
BEOGRAD/SURCIN,4481,2028,99,Serbia,46,800 m,2025112106
RIBNITA,4776,2901,119,Republic of Moldova,45,500 m,2025112106
DIYARBAKIR,3788,4020,674,Turkey,46,100 m,2025112106
MOHYLIV-PODIL'S'KYI,4845,2776,78,Ukraine,47,500 m,2025112106
PONYRI,5231,3630,250.9,Russian Federation,47,500 m,2025112106
KOKAND,4055,7095,399,Uzbekistan,47,500 m,2025112103
KASTORIA (AIRPORT),4043,2126,658.68,Greece,41,,2025112103
DIPAYAL,2925,8093,617,Nepal,47,800 m,2025112103
SUNDERNAGAR,3153,7690,875,India,45,50 m,2025112103
PINSK,5211,2610,142.1,Belarus,43,800 m,2025112103
NIZHNY-CHIR,4833,4311,74.2,Russian Federation,45,500 m,2025112103
MUSSALA (TOP/SOMMET),4218,2358,2927,Bulgaria,49,below 100 m,2025112103
FURSATGANJ,2625,8136,116,India,42,500 m,2025112103
SVITLOVODS'K,4906,3323,84,Ukraine,45,200 m,2025112103
IVANO-FRANKIVS'K,4888,2468,280,Ukraine,45,400 m,2025112103
MALYE DERBETY,4793,4470,9.27,Russian Federation,45,200 m,2025112103
LEOVA,4646,2825,156,Republic of Moldova,45,500 m,2025112103
OENPELLI AIRPORT,-1231,13300,8.9,Australia,41,,2025112103
BOLOGNA/BORGO PANIGALE,4451,1128,37,Italy,41,3000 m,2025112103
AK-BAJTAL,4315,6433,236.6,Uzbekistan,44,50 m,2025112103
42474,2530,8180,,,11,1000 m,2025112103
NEW DELHI/SAFDARJUNG,2858,7720,216,India,11,500 m,2025112103
GEORGIEVSK,4413,4345,287.88,Russian Federation,45,200 m,2025112103
ELISTA,4630,4418,197.2,Russian Federation,43,500 m,2025112103
MYRONIVKA,4963,3106,153,Ukraine,45,200 m,2025112103
PATNA,2560,8516,57,India,11,1000 m,2025112103
MANDI,3171,7696,761,India,41,500 m,2025112103
PROHLADNAYA,4375,4405,199.94,Russian Federation,45,500 m,2025112103
GUDERMES,4335,4611,75,Russian Federation,45,200 m,2025112103
CHISINAU,4696,2883,173,Republic of Moldova,45,200 m,2025112103
DUBASARI,4728,2913,40,Republic of Moldova,47,200 m,2025112103
YUSTA,4713,4631,2.6,Russian Federation,45,500 m,2025112103
MIERCUREA CIUC,4636,2576,662.2,Romania,45,300 m,2025112103
ERMELO,-2648,2998,1774,South Africa,40,2000 m,2025112103
SREDNIKAN,6245,15231,260,Russian Federation,41,1000 m,2025112103
CROKER ISLAND AIRPORT,-1115,13246,10.6,Australia,41,,2025112103
MOROZOVSK,4835,4186,89.76,Russian Federation,45,500 m,2025112103
DNIPROPETROVS'K,4835,3508,143,Ukraine,45,900 m,2025112103
ALIGARH,2788,7806,191,India,42,500 m,2025112103
KRYVYI RIH,4805,3320,124,Ukraine,45,400 m,2025112103
AL AIN INTERNATIONAL AIRPORT,2426,5560,262,United Arab Emirates,47,200 m,2025112103
CHIMOIO,-1911,3346,732,Mozambique,42,300 m,2025112103
DIYARBAKIR,3788,4020,674,Turkey,42,500 m,2025112103
RIBNITA,4776,2901,119,Republic of Moldova,45,500 m,2025112103
LUBNY,5000,3298,158,Ukraine,45,200 m,2025112103
ANDIZAN,4073,7231,475,Uzbekistan,44,500 m,2025112103
BEOGRAD/SURCIN,4481,2028,99,Serbia,47,400 m,2025112103
BOKOVSKAJA,4921,4183,91.12,Russian Federation,47,500 m,2025112103
RAMNICU VALCEA,4508,2435,238.3,Romania,44,200 m,2025112103
LIPETSK,5270,3951,177.2,Russian Federation,47,600 m,2025112103
KHARKIV,4991,3626,155,Ukraine,47,200 m,2025112103
KHMEL'NYTS'KYI,4935,2693,350,Ukraine,45,500 m,2025112103
CHERNIVTSI,4825,2596,246,Ukraine,45,200 m,2025112103
CHARLEROI/GOSSELIES,5045,443,188.1,Belgium,44,800 m,2025112103
SAGHEZ,3625,4626,1523,"Iran, Islamic Republic of",44,700 m,2025112103
LUDHIANA,3086,7593,255,India,44,500 m,2025112103
PUTAO,2720,9725,0,Myanmar,47,600 m,2025112103
ZIMOVNIKI,4715,4248,72.02,Russian Federation,46,500 m,2025112103
BRICENI,4835,2706,261,Republic of Moldova,45,500 m,2025112103
TIRASPOL,4690,2960,40,Republic of Moldova,47,500 m,2025112103
BEOGRAD,4480,2046,132,Serbia,46,400 m,2025112103
UMBA,6666,3433,39.5,Russian Federation,47,500 m,2025112103
GAYA (42591-0),2475,8495,116,India,12,1000 m,2025112103
TAGANROG,4720,3890,32.03,Russian Federation,47,500 m,2025112103
BOGUCAR,4993,4056,83.57,Russian Federation,47,500 m,2025112103
CERNYJ JAR,4806,4611,5.36,Russian Federation,45,500 m,2025112103
"COLUMBIA/REGIONAL,  MO.",3881,26779,274,United States of America,41,400 m,2025112103
CEADIR-LUNGA,4605,2881,180,Republic of Moldova,45,200 m,2025112103
DOSANG,4691,4793,-18.53,Russian Federation,45,500 m,2025112103
AI-PETRI,4446,3406,1180,Ukraine,45,200 m,2025112103
MINERAL'NYE VODY,4423,4306,328.29,Russian Federation,45,500 m,2025112103
NOVYJ USHTOGAN,4790,4878,-10,Kazakhstan,44,500 m,2025112103
KOPAONIK,4328,2080,1713,Serbia,45,100 m,2025112103
ERZURUM,3995,4118,1758,Turkey,47,400 m,2025112103
POLTAVA,4960,3453,160,Ukraine,45,50 m,2025112103
POINT STUART AWS,-1223,13186,1.5,Australia,41,,2025112103
KIROVOHRAD,4853,3228,171,Ukraine,45,200 m,2025112103
CAHUL,4590,2818,113,Republic of Moldova,45,200 m,2025112103
ZHYTOMYR,5026,2865,224,Ukraine,45,500 m,2025112103
BLAGODARNYJ,4510,4345,162.5,Russian Federation,47,500 m,2025112103
UTTA,4636,4601,-7.05,Russian Federation,45,200 m,2025112103
AMRITSAR,3163,7486,234,India,12,500 m,2025112103
VERHNIJ BASKUNCHAK,4821,4673,34.56,Russian Federation,45,500 m,2025112103
KAMYSIN,5008,4536,118.66,Russian Federation,45,500 m,2025112103
HAKHA,2263,9358,0,Myanmar,47,300 m,2025112103
BUDENNOVSK,4478,4413,135.87,Russian Federation,45,50 m,2025112103
LICHINGA,-1330,3523,1365,Mozambique,42,800 m,2025112103
KONOTOP,5123,3318,149,Ukraine,47,500 m,2025112103
DIVNOE,4591,4335,86.41,Russian Federation,45,500 m,2025112103
KIEV,5038,3053,167,Ukraine,45,200 m,2025112103
KOMRAT,4628,2863,133,Republic of Moldova,45,500 m,2025112103
ERZINCAN,3970,3951,1154,Turkey,41,2500 m,2025112103
DAR ES SALAAM INT,-686,3920,55,"Tanzania, United Republic of",40,10 km,2025112103
SOROCA,4816,2830,173,Republic of Moldova,47,500 m,2025112103
GROZNYJ,4325,4571,257.57,Russian Federation,47,200 m,2025112103
CRNI VRH,4411,2195,1039,Serbia,45,100 m,2025112103
VARFU OMU,4543,2545,2511.4,Romania,45,below 50 m,2025112103
TAPLEJUNG,2735,8766,1732,Nepal,42,900 m,2025112103
SARYG-SEP,5146,9556,705.8,Russian Federation,41,20 km,2025112103
VARANASI/BABATPUR,2543,8285,89,India,42,500 m,2025112103
STEFAN-VODA,4650,2965,173,Republic of Moldova,45,500 m,2025112103
ELISTA,4630,4418,197.2,Russian Federation,45,200 m,2025112100
MYRONIVKA,4963,3106,153,Ukraine,45,200 m,2025112100
SHEPETIVKA,5015,2703,278,Ukraine,47,500 m,2025112100
SVITLOVODS'K,4906,3323,84,Ukraine,45,200 m,2025112100
MALYE DERBETY,4793,4470,9.27,Russian Federation,47,200 m,2025112100
IVANO-FRANKIVS'K,4888,2468,280,Ukraine,45,200 m,2025112100
MUSSALA (TOP/SOMMET),4218,2358,2927,Bulgaria,49,below 100 m,2025112100
RASHT (40719-0),3731,4961,-9,"Iran, Islamic Republic of",46,500 m,2025112100
LEOVA,4646,2825,156,Republic of Moldova,45,500 m,2025112100
BOLOGNA/BORGO PANIGALE,4451,1128,37,Italy,41,2000 m,2025112100
PINSK,5211,2610,142.1,Belarus,47,700 m,2025112100
VOLGOGRAD,4878,4436,134,Russian Federation,47,700 m,2025112100
16779,3766,2633,,,41,,2025112100
JIANGCHENG,2260,10185,1121,China,B45,500 m,2025112100
DIPAYAL,2925,8093,617,Nepal,47,300 m,2025112100
KHMEL'NYTS'KYI,4935,2693,350,Ukraine,45,500 m,2025112100
KAMENSK-SAHTINSKIJ,4830,4030,57.97,Russian Federation,45,200 m,2025112100
CHERNIVTSI,4825,2596,246,Ukraine,45,200 m,2025112100
KRYVYI RIH,4805,3320,124,Ukraine,47,900 m,2025112100
AL AIN INTERNATIONAL AIRPORT,2426,5560,262,United Arab Emirates,47,300 m,2025112100
LUBNY,5000,3298,158,Ukraine,45,200 m,2025112100
MAE HONG SON,1928,9796,274.2,Thailand,46,800 m,2025112100
DIYARBAKIR,3788,4020,674,Turkey,44,400 m,2025112100
RIBNITA,4776,2901,119,Republic of Moldova,45,500 m,2025112100
YUSTA,4713,4631,2.6,Russian Federation,45,500 m,2025112100
MIERCUREA CIUC,4636,2576,662.2,Romania,43,500 m,2025112100
KUANTAN,378,10321,16,Malaysia,46,800 m,2025112100
DNIPROPETROVS'K,4835,3508,143,Ukraine,45,800 m,2025112100
PROHLADNAYA,4375,4405,199.94,Russian Federation,45,500 m,2025112100
GUDERMES,4335,4611,75,Russian Federation,45,200 m,2025112100
MOURGASH,4283,2366,1692,Bulgaria,41,below 100 m,2025112100
JESSORE,2318,8916,7,Bangladesh,44,700 m,2025112100
CHISINAU,4696,2883,173,Republic of Moldova,45,200 m,2025112100
MALINOVKA,4978,12991,115.6,Russian Federation,48,500 m,2025112100
GALATI,4546,2801,70.3,Romania,44,100 m,2025112100
PURNEA,2526,8746,37.8,India,40,500 m,2025112100
POLTAVA,4960,3453,160,Ukraine,45,200 m,2025112100
IKI-BURUL,4580,4463,112.99,Russian Federation,45,500 m,2025112100
LASHIO,2293,9775,749,Myanmar,47,100 m,2025112100
KIROVOHRAD,4853,3228,171,Ukraine,45,400 m,2025112100
CAHUL,4590,2818,113,Republic of Moldova,47,200 m,2025112100
TERNOPIL',4951,2568,329,Ukraine,45,200 m,2025112100
EFREMOV,5315,3811,214.7,Russian Federation,49,200 m,2025112100
NOVYJ USHTOGAN,4790,4878,-10,Kazakhstan,46,500 m,2025112100
MINERAL'NYE VODY,4423,4306,328.29,Russian Federation,45,500 m,2025112100
ERZURUM,3995,4118,1758,Turkey,47,400 m,2025112100
KOPAONIK,4328,2080,1713,Serbia,45,below 100 m,2025112100
OUDOMXAY,2068,10200,636,Lao People's Democratic Republic,45,500 m,2025112100
"COLUMBIA/REGIONAL,  MO.",3881,26779,274,United States of America,41,800 m,2025112100
CEADIR-LUNGA,4605,2881,180,Republic of Moldova,45,200 m,2025112100
DOSANG,4691,4793,-18.53,Russian Federation,47,500 m,2025112100
PUTAO,2720,9725,0,Myanmar,47,500 m,2025112100
KALEWA,2320,9430,109,Myanmar,40,2000 m,2025112100
SAMNEUA,2041,10406,0,Lao People's Democratic Republic,47,200 m,2025112100
BRICENI,4835,2706,261,Republic of Moldova,45,500 m,2025112100
SAGHEZ,3625,4626,1523,"Iran, Islamic Republic of",44,800 m,2025112100
LOVETCH,4315,2470,221,Bulgaria,45,600 m,2025112100
HINTHADA,1766,9541,0,Myanmar,40,4000 m,2025112100
YASHKUL',4618,4535,-6.71,Russian Federation,45,500 m,2025112100
ODESA,4643,3076,42,Ukraine,45,400 m,2025112100
SARYG-SEP,5146,9556,705.8,Russian Federation,41,10 km,2025112100
VARANASI/BABATPUR,2543,8285,89,India,11,500 m,2025112100
VARFU OMU,4543,2545,2511.4,Romania,45,below 50 m,2025112100
CRNI VRH,4411,2195,1039,Serbia,45,100 m,2025112100
TAPLEJUNG,2735,8766,1732,Nepal,40,900 m,2025112100
STEFAN-VODA,4650,2965,173,Republic of Moldova,45,500 m,2025112100
SOROCA,4816,2830,173,Republic of Moldova,44,500 m,2025112100
MCCLUER ISLAND,-1103,13296,2.4,Australia,41,,2025112100
GROZNYJ,4325,4571,257.57,Russian Federation,45,500 m,2025112100
BUDENNOVSK,4478,4413,135.87,Russian Federation,45,50 m,2025112100
HAKHA,2263,9358,0,Myanmar,47,100 m,2025112100
DIVNOE,4591,4335,86.41,Russian Federation,45,500 m,2025112100
KOMRAT,4628,2863,133,Republic of Moldova,45,500 m,2025112100
MCENSK,5338,3653,201.29,Russian Federation,47,500 m,2025112100
MOZYR,5203,2918,189.52,Belarus,47,400 m,2025112100
UTTA,4636,4601,-7.05,Russian Federation,45,200 m,2025112100
KERCH,4536,3640,49,Ukraine,45,500 m,2025112100
BACAU,4655,2688,175.2,Romania,46,300 m,2025112100
AMRITSAR,3163,7486,234,India,12,500 m,2025112100
KRYVYI RIH,4805,3320,124,Ukraine,47,700 m,2025112021
CERLAK,5416,7480,114.64,Russian Federation,45,500 m,2025112021
LUBNY,5000,3298,158,Ukraine,47,500 m,2025112021
ANDIZAN,4073,7231,475,Uzbekistan,44,500 m,2025112021
DOI ANG KHANG,1991,9903,1530,Thailand,45,500 m,2025112021
KAMENSK-SAHTINSKIJ,4830,4030,57.97,Russian Federation,47,200 m,2025112021
KHMEL'NYTS'KYI,4935,2693,350,Ukraine,45,500 m,2025112021
CHERNIVTSI,4825,2596,246,Ukraine,45,300 m,2025112021
PROHLADNAYA,4375,4405,199.94,Russian Federation,45,500 m,2025112021
GUDERMES,4335,4611,75,Russian Federation,45,200 m,2025112021
CHISINAU,4696,2883,173,Republic of Moldova,45,200 m,2025112021
KOMSOMOL' SKIJ,4535,4603,-1.66,Russian Federation,45,500 m,2025112021
MIERCUREA CIUC,4636,2576,662.2,Romania,47,100 m,2025112021
DNIPROPETROVS'K,4835,3508,143,Ukraine,45,600 m,2025112021
SVITLOVODS'K,4906,3323,84,Ukraine,45,400 m,2025112021
MUSSALA (TOP/SOMMET),4218,2358,2927,Bulgaria,49,below 100 m,2025112021
LEOVA,4646,2825,156,Republic of Moldova,45,500 m,2025112021
ELISTA,4630,4418,197.2,Russian Federation,47,200 m,2025112021
MYRONIVKA,4963,3106,153,Ukraine,47,300 m,2025112021
NETROKONA SADAR,2488,9071,13,Bangladesh,40,900 m,2025112021
KASTORIA (AIRPORT),4043,2126,658.68,Greece,41,,2025112021
MURGANELLA AIRSTRIP,-1153,13291,10.9,Australia,41,,2025112021
LIUBASHIVKA,4785,3026,183,Ukraine,45,200 m,2025112021
MCCLUER ISLAND,-1103,13296,2.4,Australia,41,,2025112021
GROZNYJ,4325,4571,257.57,Russian Federation,46,500 m,2025112021
MILANO MALPENSA,4561,871,212,Italy,41,15 km,2025112021
LUKOJANOV,5503,4450,218.83,Russian Federation,47,600 m,2025112021
VARANASI/BABATPUR,2543,8285,89,India,40,200 m,2025112021
CRNI VRH,4411,2195,1039,Serbia,47,100 m,2025112021
VARFU OMU,4543,2545,2511.4,Romania,45,below 50 m,2025112021
STEFAN-VODA,4650,2965,173,Republic of Moldova,45,500 m,2025112021
UTTA,4636,4601,-7.05,Russian Federation,45,200 m,2025112021
KERCH,4536,3640,49,Ukraine,47,500 m,2025112021
BUDENNOVSK,4478,4413,135.87,Russian Federation,45,50 m,2025112021
DIVNOE,4591,4335,86.41,Russian Federation,47,500 m,2025112021
KIEV,5038,3053,167,Ukraine,45,500 m,2025112021
KOMRAT,4628,2863,133,Republic of Moldova,45,500 m,2025112021
ERZURUM,3995,4118,1758,Turkey,47,400 m,2025112021
KOPAONIK,4328,2080,1713,Serbia,45,200 m,2025112021
WUHAN,3060,11405,25,China,B46,2200 m,2025112021
POLTAVA,4960,3453,160,Ukraine,47,500 m,2025112021
IKI-BURUL,4580,4463,112.99,Russian Federation,45,500 m,2025112021
KIROVOHRAD,4853,3228,171,Ukraine,45,200 m,2025112021
CAHUL,4590,2818,113,Republic of Moldova,45,200 m,2025112021
EFREMOV,5315,3811,214.7,Russian Federation,47,200 m,2025112021
BRICENI,4835,2706,261,Republic of Moldova,45,500 m,2025112021
SAGHEZ,3625,4626,1523,"Iran, Islamic Republic of",12,800 m,2025112021
YASHKUL',4618,4535,-6.71,Russian Federation,45,200 m,2025112021
ODESA,4643,3076,42,Ukraine,45,900 m,2025112021
GURISTE-PGC,4188,2183,856,The former Yugoslav Republic of Macedonia,45,50 m,2025112021
GAYA (42591-0),2475,8495,116,India,11,1000 m,2025112021
ASTRAHAN',4628,4798,-20.6,Russian Federation,45,200 m,2025112021
CEADIR-LUNGA,4605,2881,180,Republic of Moldova,45,200 m,2025112021
KOMRAT,4628,2863,133,Republic of Moldova,45,500 m,2025112018
LICHINGA,-1330,3523,1365,Mozambique,47,below 100 m,2025112018
BACAU,4655,2688,175.2,Romania,46,600 m,2025112018
UTTA,4636,4601,-7.05,Russian Federation,45,200 m,2025112018
STEFAN-VODA,4650,2965,173,Republic of Moldova,47,500 m,2025112018
