station,lat,lon,hp,country,knots,m/s,degrees,direction,datetime
BASE ESPERANZA,-6338,30302,24,Stations operated by Argentina,42,22,230,SW,2025112403
MAWSON,-6760,6286,16,Stations operated by  Australia,61,31,120,ESE,2025112403
BOJNOURD,3748,5728,1091,"Iran, Islamic Republic of",117,60,290,WNW,2025112403
RADUZHNYJ,6215,7731,68.82,Russian Federation,179,92,300,WNW,2025112400
BASE MARAMBIO (CENTRO MET. ANTARTICO),-6423,30339,200,Antarctica,42,22,200,SSW,2025112400
BASE BERNARDO O'HIGGINS,-6331,30212,10,Stations operated by Chile,56,29,180,S,2025112400
MAN,738,-30287,340,Côte d'Ivoire,37,19,20,NNE,2025112400
GREAT WALL,-6221,30104,10,Stations operated by China,43,22,110,ESE,2025112400
SHIP,5150,-30156,,,37,19,270,W,2025112400
HALVFARRYGGEN EP11,-7116,-30216,694,Stations operated by Netherlands,35,18,90,E,2025112400
SHIP,4310,-30516,,,35,18,230,SW,2025112400
SHIP,5160,18790,,,35,18,80,E,2025112400
ANGISSOQ,5998,31487,16.13,Greenland,39,20,100,E,2025112400
SHIP,4440,-31276,,,34,17,300,WNW,2025112400
SHIP,-210,31890,,,41,21,70,ENE,2025112400
BASE ESPERANZA,-6338,30302,24,Stations operated by Argentina,39,20,230,SW,2025112400
RUO'ERGAI,3358,10295,3441,China,35,18,340,NNW,2025112400
SHIP,5500,17520,,,35,18,90,E,2025112400
MAWSON,-6760,6286,16,Stations operated by  Australia,60,31,120,ESE,2025112400
S.A.N.A.E. AWS,-7166,-29819,817,Stations operated by South Africa,37,19,100,E,2025112321
SHIP,5160,18790,,,35,18,90,E,2025112321
BASE MARAMBIO (CENTRO MET. ANTARTICO),-6423,30339,200,Antarctica,40,21,200,SSW,2025112321
SHIP,4670,31130,,,34,17,280,W,2025112321
SHIP,-190,31810,,,40,21,60,ENE,2025112321
BASE SAN MARTIN,-6811,29290,7,Stations operated by Argentina,37,19,90,E,2025112321
BASE ESPERANZA,-6338,30302,24,Stations operated by Argentina,35,18,230,SW,2025112321
MAWSON,-6760,6286,16,Stations operated by  Australia,47,24,110,ESE,2025112321
