station,lat,lon,hp,country,knots,m/s,degrees,direction,datetime
BASE SAN MARTIN,-6811,29290,7,Stations operated by Argentina,41,21,90,E,2025112306
HOGAN ISLAND,-3921,14698,117,Australia,37,19,120,ESE,2025112306
SHIP,2450,12030,,,40,21,30,NNE,2025112303
SHIP,5100,17980,,,37,19,110,ESE,2025112303
SHEMYA AFB,5271,17410,31,United States of America,38,20,120,ESE,2025112303
SHIP,5500,17520,,,35,18,110,ESE,2025112303
CAPE LEEUWIN,-3436,11513,14,Australia,34,17,270,W,2025112303
SHIP,3900,19190,,,36,19,180,S,2025112303
MAWSON,-6760,6286,16,Stations operated by  Australia,35,18,110,ESE,2025112303
VELIKIE LUKI,5635,3061,103,Russian Federation,132,68,100,E,2025112303
BASE SAN MARTIN,-6811,29290,7,Stations operated by Argentina,41,21,90,E,2025112303
MUSSALA (TOP/SOMMET),4218,2358,2927,Bulgaria,35,18,180,S,2025112303
PORT-AUX-FRANCAIS (ILES KERGUELEN),-4935,7023,30,France,36,19,330,NNW,2025112303
"NAKISKA RIDGETOP, ALTA",5093,24482,0,Canada,37,19,220,SW,2025112303
SHIP,5120,180,,,34,17,180,S,2025112303
SHIP,5520,-30806,,,35,18,320,NW,2025112303
SHIP,5490,530,,,36,19,300,WNW,2025112303
HALVFARRYGGEN EP11,-7116,-30216,694,Stations operated by Netherlands,34,17,100,E,2025112303
SHIP,4790,-30186,,,35,18,260,W,2025112303
